"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","Significance"
"ESRRG",200.987915796724,0.0523293501152467,0.211785384113666,0.247086692664124,0.804841132214985,0.933482498940358,"ESRRG","2104","Not Significant"
"HHAT",112.843117415165,-0.0154215938488674,0.150935509096653,-0.102173398037118,0.918619042522377,0.975439010002875,"HHAT","55733","Not Significant"
"EPRS",1254.85139913433,-0.159960707808203,0.116003953632611,-1.37892462109356,0.167917996052309,0.510099677639995,"EPRS",NA,"Not Significant"
"DNAH14",121.943857605115,-0.0606236612436524,0.204938939501773,-0.295813286586896,0.767372675643591,0.917481708880626,"DNAH14","127602","Not Significant"
"NUP133",717.835606424413,-0.157255537895741,0.125334493098778,-1.25468683047855,0.209592468368195,0.556457049702364,"NUP133","55746","Not Significant"
"TRIM11",436.276754444316,0.24916952353456,0.183769861018439,1.35587806484524,0.175137967758383,0.519111641269326,"TRIM11","81559","Not Significant"
"LOC100130331",4.8616269854604,0.166744076212824,0.630694332591989,0.264381757685295,0.791485766849251,0.927418941166789,"LOC100130331","100130331","Not Significant"
"RGS7",530.790685478623,-0.249037187304904,0.217416279826653,-1.14543946526665,0.252027158007393,0.596383720390674,"RGS7","6000","Not Significant"
"MTR",1434.80997743278,-0.247036007033004,0.136781465745047,-1.80606345814034,0.0709084278874978,0.36259689362755,"MTR","4548","Not Significant"
"LYST",1727.16145040325,0.133560300866245,0.124651784311403,1.07146722049792,0.283959401985997,0.625204618219901,"LYST","1130","Not Significant"
"KIF26B",554.140523231157,0.290414633665291,0.156968740621808,1.85014310820649,0.0642929261716108,0.34831254423713,"KIF26B","55083","Not Significant"
"SMYD3",267.041138583037,-0.115196701720753,0.150145788963964,-0.767232318106511,0.442943401085117,0.749825113927616,"SMYD3","64754","Not Significant"
"ZNF496",685.112152234419,-0.122068333305282,0.111461268927138,-1.09516367865037,0.273444934987609,0.615845937942627,"ZNF496","84838","Not Significant"
"LINC01128",410.151716918032,0.0308437072549184,0.130122518031934,0.237035892952433,0.812628945050373,0.936470200156524,"LINC01128","643837","Not Significant"
"AURKAIP1",678.980271935605,-0.274049603850099,0.143968120005282,-1.90354367230776,0.0569696407594193,0.333138740236068,"AURKAIP1","54998","Not Significant"
"NADK",555.983787869572,0.119802319022237,0.133040150003541,0.900497474026062,0.367855568960303,0.696210977462437,"NADK","65220","Not Significant"
"CDK11B",300.696589690045,0.182884500424699,0.135546707605759,1.34923602096351,0.177261168267647,0.520864850749412,"CDK11B","984","Not Significant"
"FAM132A",21.3460141456932,-0.502066508871751,0.332584744888924,-1.50958971085529,0.131148148411134,0.46011621582264,"FAM132A",NA,"Not Significant"
"TNFRSF14",159.417698738183,0.0556762634932134,0.231156496707426,0.240859609339394,0.809663927697812,0.935279058846968,"TNFRSF14","8764","Not Significant"
"TTC34",29.2815252396341,0.230417396797028,0.267051633926748,0.862819648054396,0.388236634628776,0.711130742449996,"TTC34","100287898","Not Significant"
"SKI",3532.57736262305,0.279406042817992,0.161515367130861,1.72990377189073,0.0836474692772183,0.385441111733103,"SKI","6497","Not Significant"
"DFFB",180.218229191662,0.459688103908021,0.135301118652715,3.39751887113312,0.000679998977656458,0.0587805225962921,"DFFB","1677","Not Significant"
"MEGF6",144.456905912275,0.106391518816063,0.199552548457432,0.533150388899986,0.593929480651033,0.837006605059444,"MEGF6","1953","Not Significant"
"AJAP1",816.400473855521,0.202042712059965,0.175726922813809,1.1497538841788,0.250245253967716,0.594605581944107,"AJAP1","55966","Not Significant"
"KCNAB2",5788.59575041964,-0.120557804195384,0.242916952030476,-0.496292264445417,0.619688223191555,0.851497035476392,"KCNAB2","8514","Not Significant"
"NPHP4",680.798537663942,0.0485990146773471,0.151713041731649,0.320335115047719,0.748714306513005,0.909305105196241,"NPHP4","261734","Not Significant"
"PLEKHG5",1964.99421222798,0.411766597629074,0.310177654630637,1.32751857357169,0.184337200038651,0.52950662756258,"PLEKHG5","57449","Not Significant"
"ACOT7",1227.96546264729,-0.463656764337029,0.231875885474662,-1.99959026954398,0.0455445255146371,0.302662927173447,"ACOT7","11332","Not Significant"
"PER3",1231.62555106532,0.00298492002461088,0.146860942816766,0.0203248049982566,0.983784268345152,0.994881733630818,"PER3","8863","Not Significant"
"RERE",5716.10471677586,0.152966648454876,0.0850502602436906,1.7985441551453,0.072090817971751,0.364187457922756,"RERE","473","Not Significant"
"H6PD",989.156202449439,-0.0681662810268553,0.209372203853607,-0.32557464540287,0.744746197893542,0.907714051939707,"H6PD","9563","Not Significant"
"GPR157",5.96559314428065,-0.0319861311547598,0.422548403061544,-0.0756981470596186,0.939659250197756,0.981759504044604,"GPR157","80045","Not Significant"
"UBE4B",1655.91647450628,0.0896764806340812,0.106031505940521,0.845753154580168,0.397690463545428,0.717820437534996,"UBE4B","10277","Not Significant"
"KIF1B",15676.3458423518,0.0510253711143058,0.105066164026454,0.485649891067295,0.627215416871286,0.855122374996613,"KIF1B","23095","Not Significant"
"CLSTN1",12344.1776906785,-0.310137158027406,0.213027230134439,-1.45585687722495,0.14543218867667,0.480069807868787,"CLSTN1","22883","Not Significant"
"CTNNBIP1",614.467614105061,-0.162575575481366,0.143816493492008,-1.13043762599038,0.258291867127162,0.601959625246447,"CTNNBIP1","56998","Not Significant"
"CASZ1",88.1216546385118,-0.223878976034805,0.23922386027878,-0.935855544567783,0.349347568620134,0.682618462325149,"CASZ1","54897","Not Significant"
"EXOSC10",894.855726954213,0.0138159875330174,0.132318564348295,0.104414581590005,0.916840351497874,0.974955503336941,"EXOSC10","5394","Not Significant"
"PEX14",428.909404470091,-0.254609844753874,0.151617861519913,-1.67928661043959,0.0930961992353052,0.402328324029406,"PEX14","5195","Not Significant"
"MTOR",2251.62108519973,-0.0383863834572184,0.0817628114733124,-0.469484632016938,0.63872326713698,0.859007234567878,"MTOR","2475","Not Significant"
"VPS13D",5111.2306779652,-0.0569929096349238,0.0683757856291714,-0.833524750180109,0.404548845170773,0.723174582937585,"VPS13D","55187","Not Significant"
"AGTRAP",124.934364218134,0.0143145551991662,0.14545103659486,0.0984149410982751,0.921602810992923,0.976011814879198,"AGTRAP","57085","Not Significant"
"MFN2",2921.03345477111,-0.0875173689466176,0.110065686102902,-0.79513763140309,0.426533446618641,0.738544740843103,"MFN2","9927","Not Significant"
"KAZN",1184.80206848366,-0.0219760233410791,0.187145476265901,-0.117427488922335,0.906521301750158,0.971495895706179,"KAZN","23254","Not Significant"
"TMEM51-AS1",40.3842120192398,0.375510265030419,0.300726111683033,1.24867861632916,0.211782645094636,0.559005986061925,"TMEM51-AS1","200197","Not Significant"
"FHAD1",59.3556912266453,-0.367347819729641,0.299165220089656,-1.22790951307626,0.219480937970296,0.567323680779546,"FHAD1","114827","Not Significant"
"DNAJC16",596.564759158558,-0.0326135576495864,0.096555554643774,-0.337769875279665,0.735536613076435,0.904114710958294,"DNAJC16","23341","Not Significant"
"SPEN",5158.3530791697,0.292761259437598,0.11275956951491,2.59633182972453,0.00942250181435161,0.163209977275303,"SPEN","23013","Not Significant"
"FBXO42",674.155131041393,0.0878152789521432,0.105668152129469,0.831047739384601,0.405946660978449,0.724670106734107,"FBXO42","54455","Not Significant"
"ESPNP",14.1797916063631,0.627484476254467,0.336870229166063,1.86268901769038,0.0625060319052629,0.345113856250232,"ESPNP","284729","Not Significant"
"PADI2",4086.969846371,-0.204569150871566,0.257071747476291,-0.795766757256874,0.42616761693979,0.738473854922093,"PADI2","11240","Not Significant"
"NBPF1",852.040286867307,0.462774352651308,0.245250323258654,1.88694696301477,0.0591674595904992,0.338212147003417,"NBPF1","55672","Not Significant"
"ARHGEF10L",1059.27035109541,0.491342158110028,0.195369004024463,2.51494427462253,0.011905119940281,0.178921739932555,"ARHGEF10L","55160","Not Significant"
"IGSF21",897.955349522605,-0.147103908830226,0.145401284673358,-1.01170982884156,0.311676814616761,0.650795457348996,"IGSF21","84966","Not Significant"
"UBR4",7968.42994864481,-0.0770864272405573,0.0676587863750765,-1.13934096915687,0.254560966787301,0.598773578583732,"UBR4","23352","Not Significant"
"CAPZB",1289.19047491106,-0.259381622142251,0.114011155782244,-2.27505475549829,0.0229026453413651,0.230327076042925,"CAPZB","832","Not Significant"
"PAX7",40.3575104899409,-0.404465531352708,0.315771763609928,-1.28087935010029,0.200236047020725,0.546880633900919,"PAX7","5081","Not Significant"
"IFFO2",677.283832719073,-0.10073381428662,0.172439163542985,-0.584170163070347,0.559105833408479,0.818299333087435,"IFFO2","126917","Not Significant"
"TMCO4",83.0037600025107,-0.0730496137669024,0.174421252001044,-0.418811428818692,0.675353951623611,0.878143159861811,"TMCO4","255104","Not Significant"
"LINC01141",39.7393752446826,0.400025576790342,0.252665754467619,1.58322039974598,0.113371238399453,0.436122203127456,"LINC01141","339505","Not Significant"
"EIF4G3",3306.1436527124,-0.0210056418398344,0.0786139047692825,-0.267200082497901,0.789315112634574,0.926572612495122,"EIF4G3","8672","Not Significant"
"ALPL",394.369163194538,-0.569223027317962,0.252305755718933,-2.25608419314886,0.0240653588713195,0.235413466849856,"ALPL","249","Not Significant"
"HP1BP3",2703.1496701638,0.385350368939973,0.107729679352411,3.57701212197425,0.000347544062804676,0.0416082325229696,"HP1BP3","50809","Not Significant"
"ECE1",1594.40839984669,0.0710680745538394,0.125613182985369,0.565769235878032,0.571550662216739,0.824955085628374,"ECE1","1889","Not Significant"
"ZBTB40",1016.62028677044,0.477717279030669,0.127489115176686,3.74712208464702,0.000178875039400278,0.0301137697909661,"ZBTB40","9923","Not Significant"
"HSPG2",773.06261442467,-0.293366234593578,0.223415497891451,-1.31309706516472,0.189150242682555,0.534360781610353,"HSPG2","3339","Not Significant"
"CDC42",756.224017937056,-0.430307909365129,0.153671154746249,-2.80018660675571,0.00510730727902983,0.127629480858256,"CDC42","998","Not Significant"
"TCEA3",113.406799020393,0.283009910610008,0.256939058464403,1.1014670649975,0.270693431004041,0.612418758438001,"TCEA3","6920","Not Significant"
"E2F2",4.8636430028419,-0.384925060197178,0.664275165991451,-0.579466281300259,0.562274591975793,0.820496804227449,"E2F2","1870","Not Significant"
"LUZP1",1813.52074305607,-0.0288669095773218,0.210628637157434,-0.137051209972675,0.890990317260692,0.966075393867264,"LUZP1","7798","Not Significant"
"NIPAL3",2389.41628188306,-0.000365283216991434,0.263102388409142,-0.00138836906498695,0.998892242114231,0.999415227722929,"NIPAL3","57185","Not Significant"
"IFNLR1",57.0468634274613,0.35073292123235,0.274914858126984,1.27578743332361,0.202030671037989,0.549358548960198,"IFNLR1","163702","Not Significant"
"NCMAP",9.00103988807007,-0.199158761946554,0.400512082785669,-0.497260308756109,0.61900549751077,0.851182453838697,"NCMAP","400746","Not Significant"
"TMEM57",549.529313357295,0.122051573480481,0.080753369607717,1.51141152466308,0.130683634898772,0.459983254306942,"TMEM57",NA,"Not Significant"
"MAN1C1",980.379741975542,-0.0419749046828302,0.145268990264763,-0.288946075871582,0.772622643351798,0.91952301864807,"MAN1C1","57134","Not Significant"
"RHCE",13.8695958480972,-0.44382421052764,0.264580592237761,-1.67746321366158,0.093451937101418,0.402876225649205,"RHCE","6006","Not Significant"
"SH3BGRL3",611.024705148637,-0.0728312109833697,0.101211236540338,-0.719596098940484,0.471773714615383,0.768288598294308,"SH3BGRL3","83442","Not Significant"
"RPS6KA1",343.003566907389,-0.0843795669854813,0.272882376467751,-0.309215890295698,0.757157307119789,0.912979599907351,"RPS6KA1","6195","Not Significant"
"TMEM222",430.700263043045,-0.172771010684388,0.111682533208699,-1.54698327232186,0.121867279338797,0.4471761215969,"TMEM222","84065","Not Significant"
